table_name,table_schema,table_size,indexes_size,total_size
"citydb"."database_srs",citydb,16 kB,16 kB,32 kB
"citydb"."address",citydb,8192 bytes,24 kB,32 kB
"pg_catalog"."pg_statistic_ext",pg_catalog,8192 bytes,24 kB,32 kB
"citydb"."implicit_geometry",citydb,8192 bytes,24 kB,32 kB
"citydb"."textureparam",citydb,8192 bytes,24 kB,32 kB
"citydb"."masspoint_relief",citydb,8192 bytes,24 kB,32 kB
"citydb"."generalization",citydb,0 bytes,24 kB,24 kB
"citydb"."cityobject_member",citydb,0 bytes,24 kB,24 kB
"pg_catalog"."pg_subscription",pg_catalog,8192 bytes,16 kB,24 kB
"pg_catalog"."pg_foreign_server",pg_catalog,8192 bytes,16 kB,24 kB
"citydb"."group_to_cityobject",citydb,0 bytes,24 kB,24 kB
"pg_catalog"."pg_user_mapping",pg_catalog,8192 bytes,16 kB,24 kB
"citydb"."address_to_building",citydb,0 bytes,24 kB,24 kB
"citydb"."tunnel_open_to_them_srf",citydb,0 bytes,24 kB,24 kB
"citydb"."bridge_open_to_them_srf",citydb,0 bytes,24 kB,24 kB
"citydb"."address_to_bridge",citydb,0 bytes,24 kB,24 kB
"citydb"."opening_to_them_surface",citydb,0 bytes,24 kB,24 kB
"citydb"."external_reference",citydb,8192 bytes,16 kB,24 kB
"citydb"."grid_coverage",citydb,8192 bytes,16 kB,24 kB
"citydb"."schema_to_objectclass",citydb,0 bytes,24 kB,24 kB
"citydb"."schema_referencing",citydb,0 bytes,24 kB,24 kB
"citydb"."waterbod_to_waterbnd_srf",citydb,0 bytes,24 kB,24 kB
"citydb"."appear_to_surface_data",citydb,0 bytes,24 kB,24 kB
"pg_catalog"."pg_sequence",pg_catalog,8192 bytes,16 kB,24 kB
"pg_catalog"."pg_default_acl",pg_catalog,8192 bytes,16 kB,24 kB
"pg_catalog"."pg_replication_origin",pg_catalog,8192 bytes,16 kB,24 kB
"pg_catalog"."pg_policy",pg_catalog,8192 bytes,16 kB,24 kB
"pg_catalog"."pg_foreign_data_wrapper",pg_catalog,8192 bytes,16 kB,24 kB
"pg_catalog"."pg_enum",pg_catalog,0 bytes,24 kB,24 kB
"pg_catalog"."pg_event_trigger",pg_catalog,8192 bytes,16 kB,24 kB
"pg_catalog"."pg_seclabel",pg_catalog,8192 bytes,8192 bytes,16 kB
"pg_catalog"."pg_publication",pg_catalog,0 bytes,16 kB,16 kB
"pg_catalog"."pg_transform",pg_catalog,0 bytes,16 kB,16 kB
"pg_catalog"."pg_partitioned_table",pg_catalog,8192 bytes,8192 bytes,16 kB
"pg_catalog"."pg_shseclabel",pg_catalog,8192 bytes,8192 bytes,16 kB
"pg_catalog"."pg_inherits",pg_catalog,0 bytes,16 kB,16 kB
"citydb"."schema",citydb,8192 bytes,8192 bytes,16 kB
"pg_catalog"."pg_foreign_table",pg_catalog,8192 bytes,8192 bytes,16 kB
"pg_catalog"."pg_statistic_ext_data",pg_catalog,8192 bytes,8192 bytes,16 kB
"citydb"."tex_image",citydb,8192 bytes,8192 bytes,16 kB
"citydb"."ade",citydb,8192 bytes,8192 bytes,16 kB
"pg_catalog"."pg_publication_rel",pg_catalog,0 bytes,16 kB,16 kB
"information_schema"."sql_sizing_profiles",information_schema,8192 bytes,0 bytes,8192 bytes
"pg_catalog"."pg_largeobject",pg_catalog,0 bytes,8192 bytes,8192 bytes
"pg_catalog"."pg_subscription_rel",pg_catalog,0 bytes,8192 bytes,8192 bytes
"pg_catalog"."pg_largeobject_metadata",pg_catalog,0 bytes,8192 bytes,8192 bytes
"pg_catalog"."pg_statio_all_sequences",pg_catalog,0 bytes,0 bytes,0 bytes
"public"."geometry_columns",public,0 bytes,0 bytes,0 bytes
"public"."raster_columns",public,0 bytes,0 bytes,0 bytes
"public"."raster_overviews",public,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_shadow",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_roles",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_settings",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_file_settings",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_hba_file_rules",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_config",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_cursors",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_bgwriter",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_replication_origin_status",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_progress_vacuum",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_progress_cluster",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_progress_create_index",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_user_mappings",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_group",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_user",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_policies",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_rules",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_views",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_tables",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_matviews",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_indexes",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_sequences",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stats",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stats_ext",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_publication_tables",pg_catalog,0 bytes,0 bytes,0 bytes
