0.171,0.225,0.377,2.343,0.155,2.164,0.144,2.623,0.148,0.367,0.143,0.138,0.128,0.105,0.099,0.094,0.107
0.205,0.274,0.376,2.295,0.185,2.257,0.145,5.833,0.413,0.145,0.139,0.144,0.144,0.099,0.112,0.113,0.1
0.203,0.272,0.404,2.279,0.135,3.417,0.105,2.523,0.111,0.121,0.435,0.154,0.128,0.131,0.113,0.115,0.144
0.175,0.256,0.389,2.953,0.167,4.549,0.111,2.274,0.135,0.136,0.118,0.101,0.108,0.093,0.117,0.096,0.087
0.224,0.262,0.388,2.488,0.126,4.809,0.135,2.231,0.103,0.097,0.09,0.089,0.089,0.088,0.089,0.27,0.151
0.177,0.202,0.359,2.137,0.169,2.275,0.175,2.43,0.153,0.227,0.113,0.167,0.116,0.119,0.098,0.092,0.095
0.229,0.26,0.755,2.456,0.163,5.573,0.154,2.773,0.11,0.116,0.099,0.098,0.098,0.093,0.14,0.119,0.105
0.187,0.209,0.359,2.437,0.131,2.184,0.15,2.289,0.64,0.117,0.104,0.117,0.115,0.108,0.108,0.096,0.101
0.21,0.32,0.373,2.704,0.502,2.624,0.173,2.266,0.117,0.095,0.092,0.093,0.146,0.135,0.111,0.116,0.12
0.281,0.24,0.462,2.57,0.112,2.154,0.187,4.518,0.22,0.108,0.102,0.102,0.099,0.088,0.113,0.097,0.093
0.193,0.333,1.297,2.349,0.184,3.713,0.274,2.352,0.101,0.107,0.16,0.108,0.11,0.085,0.091,0.087,0.094
0.184,0.204,0.369,2.418,0.113,2.325,0.115,2.281,0.156,0.106,0.095,0.122,0.752,0.118,0.108,0.156,0.147
0.288,0.305,0.419,2.448,0.228,3.211,0.134,2.281,0.151,0.091,0.092,0.091,0.087,0.091,0.142,0.136,0.105
0.183,0.223,0.346,2.241,0.171,2.238,0.175,2.366,0.488,0.123,0.129,0.117,0.123,0.101,0.104,0.084,0.112
0.234,0.298,0.419,2.406,0.17,4.568,0.144,2.727,0.105,0.095,0.094,0.087,0.134,0.12,0.114,0.097,0.101
0.191,0.216,0.434,2.258,0.147,5.859,0.116,2.217,0.111,0.096,0.088,0.097,0.09,0.085,0.152,0.151,0.138
0.263,0.387,0.718,4.353,0.178,8.698,1.724,4.382,0.128,0.142,0.396,0.151,0.175,0.149,0.141,0.108,0.104
0.22,0.251,0.337,2.459,0.12,2.255,0.115,2.517,0.124,0.114,0.14,0.369,0.125,0.096,0.111,0.113,0.114
0.776,0.397,0.564,2.255,1.079,2.968,0.14,2.469,0.113,0.093,0.103,0.157,0.181,0.161,0.148,0.119,0.143
0.216,0.27,0.436,3.422,0.18,2.507,0.117,2.545,0.116,0.095,0.094,0.093,0.219,0.118,0.1,0.166,0.099
0.234,0.36,0.441,2.246,0.226,3.807,0.12,2.282,0.11,0.099,0.09,0.101,0.091,0.086,0.086,0.096,0.094
0.21,0.221,0.344,2.177,0.119,2.229,0.128,2.256,0.122,0.117,0.096,0.091,0.13,0.409,0.141,0.113,0.092
0.181,0.225,1.376,4.991,0.131,2.656,0.127,2.187,0.104,0.143,0.1,0.09,0.091,0.084,0.093,0.085,0.103
0.201,0.227,0.36,2.136,0.123,2.378,0.129,2.321,0.114,0.106,0.095,0.186,0.345,0.099,0.094,0.115,0.11
0.373,0.372,0.677,2.463,1.001,2.617,0.13,2.19,0.119,0.106,0.097,0.092,0.087,0.086,0.095,0.125,0.12
0.199,0.201,0.346,2.135,0.182,2.325,0.171,2.402,0.146,0.124,0.324,0.128,0.253,0.128,0.099,0.089,0.099
0.207,0.269,0.451,2.582,0.385,2.669,0.128,2.244,0.12,0.1,0.097,0.096,0.092,0.095,0.087,0.13,0.125
0.171,0.207,0.333,2.125,0.15,2.342,0.149,2.507,0.115,0.621,0.138,0.229,0.118,0.11,0.097,0.097,0.091
0.198,0.288,0.378,5.603,0.189,2.712,0.132,2.588,0.12,0.1,0.107,0.153,0.121,0.133,0.107,0.103,0.102
0.174,0.214,0.401,2.523,0.129,2.365,0.13,6.504,0.238,0.172,0.13,0.151,0.214,0.18,0.217,0.145,0.178
0.42,3.283,0.602,6.205,0.275,2.428,0.144,2.78,0.111,0.1,0.113,0.098,0.101,0.088,0.095,0.107,0.1
0.184,0.326,0.354,2.649,0.168,2.871,0.155,2.334,0.103,0.089,0.099,0.155,0.096,0.101,0.086,0.083,0.094
0.192,0.238,0.397,2.18,0.573,2.569,0.124,2.22,0.109,0.105,0.134,0.141,0.112,0.094,0.124,0.102,0.093
0.207,0.252,0.37,2.946,0.13,2.594,0.147,2.188,0.104,0.11,0.095,0.093,0.102,0.116,0.098,0.286,0.133
0.19,0.205,0.352,2.408,0.118,2.205,0.109,2.667,0.104,0.54,0.123,0.092,0.121,0.12,0.1,0.091,0.086
0.212,0.301,0.392,4.468,0.129,2.948,0.129,3.965,0.178,0.436,0.219,0.194,0.161,0.662,0.187,0.311,0.243
