0.185,2.033,6.826,21.941,0.127,20.412,0.114,20.302,0.104,0.082,0.089,0.084,0.084,0.097,0.085,0.085,0.085
0.176,0.953,6.65,21.223,0.11,20.409,0.107,22.622,0.29,0.103,0.088,0.085,0.096,0.084,0.368,0.103,0.091
0.22,0.978,6.831,21.709,0.121,21.04,0.105,20.077,0.097,0.092,0.092,0.09,0.094,0.09,0.09,0.088,0.092
0.177,0.985,6.609,20.821,0.111,19.953,0.111,19.822,0.104,0.092,0.091,0.091,0.092,0.091,0.091,0.094,0.095
0.247,0.974,7.467,20.383,0.118,19.754,0.11,19.415,0.101,0.091,0.091,0.085,0.092,0.085,0.08,0.092,0.085
0.346,0.982,6.84,21.672,0.111,19.701,0.104,19.44,0.099,0.094,0.095,0.109,0.089,0.088,0.082,0.089,0.091
0.277,0.949,6.635,20.46,0.112,19.475,0.107,20.408,0.103,0.106,0.105,0.102,0.1,0.096,0.134,0.104,0.139
0.259,0.994,13.419,26.728,0.355,19.77,0.122,19.905,0.102,0.102,0.094,0.086,0.096,0.091,0.117,0.097,0.09
0.181,1.061,6.795,21.148,0.112,19.32,0.114,19.086,0.1,0.095,0.089,0.089,0.092,0.091,0.09,0.09,0.1
0.688,0.967,7.165,20.431,0.109,19.192,0.114,19.11,0.107,0.094,0.112,0.092,0.092,0.091,0.09,0.085,0.082
0.182,0.941,6.981,20.548,0.137,19.016,0.113,18.731,0.099,0.101,0.093,0.096,0.09,0.085,0.091,0.084,0.085
0.517,0.962,6.638,19.871,0.167,19.244,0.111,19.607,0.108,0.101,0.101,0.108,0.11,0.089,0.1,0.102,0.093
0.198,0.97,7.706,21.226,0.114,18.727,0.108,18.546,0.111,0.107,0.098,0.086,0.093,0.089,0.092,0.089,0.098
0.239,0.959,6.616,20.084,0.111,18.49,0.111,18.323,0.103,0.085,0.095,0.097,0.095,0.085,0.081,0.085,0.084
0.696,1.004,6.716,19.457,0.125,19.623,0.116,17.924,0.096,0.085,0.088,0.09,0.09,0.09,0.109,0.1,0.096
0.501,1.951,6.595,20.031,0.139,18.114,0.111,17.931,0.103,0.097,0.096,0.093,0.093,0.09,0.091,0.093,0.091
0.241,1.006,6.697,18.918,0.121,17.953,0.112,17.717,0.096,0.086,0.091,0.092,0.091,0.091,0.084,0.085,0.091
0.172,1.333,6.563,21.239,0.144,37.931,0.136,27.789,0.152,0.138,0.139,0.126,0.126,0.128,0.13,0.128,0.127
0.266,2.168,9.249,28.856,0.159,21.866,0.133,18.39,0.12,0.136,0.11,0.113,0.118,0.112,0.127,0.114,0.119
0.264,2.333,9.476,23.736,0.177,19.705,0.152,23.908,0.128,0.12,0.092,0.091,0.08,0.082,0.088,0.078,0.081
0.669,1.017,7.043,17.774,0.117,18.837,0.103,17.193,0.099,0.092,0.095,0.091,0.091,0.086,0.08,0.09,0.087
0.401,1.012,6.892,18.066,0.114,17.281,0.108,18.204,0.113,0.108,0.106,0.103,0.122,0.124,0.106,0.113,0.121
