0.917,0.291,0.312,0.433,0.667,0.294,0.269,0.293,0.294,0.374
1.325,0.363,0.303,0.34,0.281,0.391,0.385,0.311,0.304,0.286
0.92,0.387,0.457,0.324,0.338,0.285,0.282,0.28,0.311,0.286
0.935,0.289,0.298,0.305,0.275,0.287,0.3,0.276,4.015,1.175
0.596,0.231,0.216,0.216,0.262,0.224,0.238,0.229,0.233,0.229
1.35,0.33,0.288,0.392,0.531,0.291,0.309,0.32,0.417,0.744
0.987,0.296,0.392,0.883,0.396,0.278,0.401,0.283,0.28,0.197
0.788,0.363,0.291,0.457,0.267,0.258,0.289,0.34,0.215,0.176
1.738,0.309,0.351,0.364,0.232,0.234,0.244,0.378,0.542,0.228
0.571,0.289,0.279,0.26,0.241,0.221,0.201,0.199,0.208,0.247
0.93,0.301,0.805,0.288,0.819,0.378,0.487,0.301,0.544,0.754
